tile_id,dominant_bin,dominant_deg,confidence,energy_sum,bin0_energy,bin1_energy,bin2_energy,bin3_energy,bin4_energy,bin5_energy,bin6_energy,bin7_energy
1,1,22.50,0.136799,1384.209615,184.953724,189.358756,181.393929,168.502865,165.122243,160.615642,163.067396,171.195059
2,1,22.50,0.142977,1685.833207,222.518708,241.035322,234.582408,210.948006,197.060404,188.481056,191.049414,200.157890
3,1,22.50,0.143326,1913.948427,252.593644,274.318580,258.207866,235.868171,224.916248,219.562913,222.555939,225.925066
4,1,22.50,0.149957,2024.796242,281.464220,303.632482,274.094881,236.292967,221.817903,223.904036,235.824133,247.765620
5,0,0.00,0.156159,2178.849222,340.247358,318.210465,272.349767,237.263398,225.789349,233.312740,256.428846,295.247298
6,0,0.00,0.160031,2045.171506,327.290944,299.111420,249.358694,219.348037,208.540840,214.963849,239.090292,287.467430
7,0,0.00,0.153763,1768.213469,271.885811,244.327256,209.992792,191.071514,188.242869,196.380417,218.335736,247.977074
8,0,0.00,0.139877,1644.005067,229.958605,211.301336,195.646802,185.354957,190.545242,199.584400,210.308532,221.305193
9,0,0.00,0.134887,1605.480817,216.558383,200.790767,193.857075,187.650233,192.404245,197.741101,203.723822,212.755190
10,0,0.00,0.133406,1052.077538,140.353304,133.538078,126.867753,122.016032,128.740405,130.056639,132.759087,137.746240
