tile_id,dominant_bin,dominant_deg,confidence,energy_sum,bin0_energy,bin1_energy,bin2_energy,bin3_energy,bin4_energy,bin5_energy,bin6_energy,bin7_energy
1,2,45.00,0.171431,2042.914312,222.807749,280.176254,350.219106,329.724160,252.700052,207.883665,201.155139,198.248189
2,3,67.50,0.171676,1827.473462,186.828416,233.505190,311.303884,313.733389,240.775494,190.525719,179.132378,171.668992
3,3,67.50,0.182809,1692.362502,162.332897,199.315884,284.116081,309.379456,239.133139,179.597327,164.625716,153.862002
4,3,67.50,0.188935,1470.146126,135.645301,164.269874,238.746156,277.762050,218.738548,162.019519,142.583861,130.380818
5,3,67.50,0.189964,1484.488858,137.048794,168.317653,244.384678,282.000013,218.375699,161.707042,142.843287,129.811692
6,3,67.50,0.190021,1456.435968,132.471565,163.440414,236.802312,276.753605,218.736084,160.660807,139.878878,127.692303
7,3,67.50,0.185293,1500.509534,138.513729,174.683611,256.448017,278.034019,213.676304,160.783434,144.597116,133.773303
8,3,67.50,0.189131,1730.253527,158.080271,198.091230,292.792072,327.244679,250.829287,185.840484,165.469382,151.906121
9,3,67.50,0.187087,1684.791459,152.808963,186.152133,280.073496,315.202707,250.324621,186.856993,164.725448,148.647099
10,3,67.50,0.183661,1699.551731,154.195023,190.068982,277.370319,312.140980,254.389631,191.241412,168.564681,151.580703
