tile,cluster,sep_z,corr_z,lambda2_z,fiedlerStd_z
C15D5P001_1_tile1,0,-0.798548,-0.243428,-0.208339,0.970834
C15D5P001_1_tile2,1,-0.122505,-0.295639,0.781073,-1.423686
C15D5P001_1_tile3,1,1.354259,-0.111972,1.776682,-1.578439
C15D5P001_1_tile4,0,-0.485622,-1.467877,0.598184,0.970834
C15D5P001_1_tile5,2,2.867664,0.689271,0.694682,-1.462277
C15D5P001_1_tile6,0,0.743051,-0.598672,-0.696851,0.970834
C15D5P001_1_tile7,1,0.144158,-1.274322,1.278754,-1.588875
C15D5P001_1_tile8,1,-0.133092,0.276210,1.681094,-0.540720
C15D5P001_1_tile9,0,-0.308297,0.114457,-0.824273,0.458763
C15D5P001_1_tile10,2,-0.986208,2.664219,0.566451,-1.028820
Picture1_tile1,0,-1.288637,-0.102455,-0.841375,0.970834
Picture1_tile2,0,0.616680,-0.265088,-0.677549,0.458760
Picture1_tile3,0,-0.350839,-0.666433,-1.143805,0.458760
Picture1_tile4,1,-1.364837,-1.313536,1.441819,-1.012701
Picture1_tile5,0,-0.279404,-0.078339,-0.780759,0.040904
Picture1_tile6,2,0.977776,2.049285,-0.157596,0.970834
Picture1_tile7,0,-0.308175,0.292962,-0.870027,0.970834
Picture1_tile8,0,-0.552904,0.566341,-1.039506,-0.036266
Picture1_tile9,0,0.807149,-0.392377,-1.044466,0.458761
Picture1_tile10,0,-0.531670,0.157390,-0.534194,0.970834
