dataset_dir,family,method,n_tiles,sep_mean,sep_std,corr_mean,corr_std,score_mean,score_std,theta_mean
generated_from_source,FFT,FFT Pipeline,10,0.27010328,0.04109772,0.51298601,0.03539813,0.34296810,0.02421609,5.40891459
generated_from_source,FFT-like/Wavelet,Chirplet Transform,10,0.02240432,0.01641972,0.89624927,0.01303382,0.28455780,0.01365086,5.40891459
generated_from_source,FFT-like/Wavelet,Gabor Transform,10,0.02717852,0.02011440,0.87064351,0.01119269,0.28021802,0.01435232,5.40891459
generated_from_source,FFT-like/Wavelet,Morlet Wavelet,10,0.02717852,0.02011440,0.87064351,0.01119269,0.28021802,0.01435232,5.40891459
generated_from_source,SVD,SVD Energy-99%,10,0.01538161,0.01263163,0.94575920,0.00859172,0.29449488,0.00827029,5.40891459
generated_from_source,SVD,SVD Rank-20,10,0.01531516,0.01188891,0.93894858,0.01040973,0.29240518,0.00821104,5.40891459
generated_from_source,SVD,CNN-style ConvBank + SVD Rank-40,10,0.02709132,0.01740153,0.78862842,0.02033899,0.25555245,0.01108429,5.40891459
generated_from_source_picture1,FFT,FFT Pipeline,10,0.30835928,0.01468737,0.50927821,0.03626727,0.36863496,0.01693142,63.85158222
generated_from_source_picture1,FFT-like/Wavelet,Gabor Transform,10,0.11078219,0.04171837,0.87783277,0.00971026,0.34089737,0.03014602,63.85158222
generated_from_source_picture1,FFT-like/Wavelet,Morlet Wavelet,10,0.11078219,0.04171837,0.87783277,0.00971026,0.34089737,0.03014602,63.85158222
generated_from_source_picture1,FFT-like/Wavelet,Chirplet Transform,10,0.07588123,0.02735730,0.92825237,0.00446031,0.33159257,0.01954471,63.85158222
generated_from_source_picture1,SVD,SVD Energy-99%,10,0.05833064,0.02389250,0.94233644,0.00676426,0.32353238,0.01813089,63.85158222
generated_from_source_picture1,SVD,SVD Rank-20,10,0.05673090,0.02144394,0.93573245,0.01001501,0.32043137,0.01727836,63.85158222
generated_from_source_picture1,SVD,CNN-style ConvBank + SVD Rank-40,10,0.09129502,0.03261028,0.77434895,0.01112835,0.29621120,0.02408450,63.85158222
