dataset_dir,base,tile_id,method,family,source_kind,trajectory_theta_deg,mask_separation,corr_with_rec,unified_score
generated_from_source,C15D5P001_1,1,FFT Pipeline,FFT,file,20.27066879,0.24907689,0.54784406,0.33870704
generated_from_source,C15D5P001_1,1,Chirplet Transform,FFT-like/Wavelet,dynamic,20.27066879,0.03642624,0.90728633,0.29768427
generated_from_source,C15D5P001_1,1,Gabor Transform,FFT-like/Wavelet,dynamic,20.27066879,0.03887892,0.87977176,0.29114677
generated_from_source,C15D5P001_1,1,Morlet Wavelet,FFT-like/Wavelet,dynamic,20.27066879,0.03887892,0.87977176,0.29114677
generated_from_source,C15D5P001_1,1,CNN-style ConvBank + SVD Rank-40,SVD,file,20.27066879,0.03984328,0.79182123,0.26543666
generated_from_source,C15D5P001_1,1,SVD Energy-99%,SVD,file,20.27066879,0.02347289,0.94317729,0.29938421
generated_from_source,C15D5P001_1,1,SVD Rank-20,SVD,file,20.27066879,0.02197857,0.94019827,0.29744448
generated_from_source,C15D5P001_1,2,FFT Pipeline,FFT,file,27.38880894,0.27748677,0.56109737,0.36256995
generated_from_source,C15D5P001_1,2,Chirplet Transform,FFT-like/Wavelet,dynamic,27.38880894,0.02795589,0.91246092,0.29330740
generated_from_source,C15D5P001_1,2,Gabor Transform,FFT-like/Wavelet,dynamic,27.38880894,0.03946946,0.88252791,0.29238700
generated_from_source,C15D5P001_1,2,Morlet Wavelet,FFT-like/Wavelet,dynamic,27.38880894,0.03946946,0.88252791,0.29238700
generated_from_source,C15D5P001_1,2,CNN-style ConvBank + SVD Rank-40,SVD,file,27.38880894,0.03881061,0.79632761,0.26606571
generated_from_source,C15D5P001_1,2,SVD Energy-99%,SVD,file,27.38880894,0.02306336,0.94231567,0.29883906
generated_from_source,C15D5P001_1,2,SVD Rank-20,SVD,file,27.38880894,0.02259595,0.93899118,0.29751452
generated_from_source,C15D5P001_1,3,FFT Pipeline,FFT,file,25.38962754,0.26767169,0.49447597,0.33571297
generated_from_source,C15D5P001_1,3,Chirplet Transform,FFT-like/Wavelet,dynamic,25.38962754,0.02075574,0.89764000,0.28382102
generated_from_source,C15D5P001_1,3,Gabor Transform,FFT-like/Wavelet,dynamic,25.38962754,0.02716057,0.86732809,0.27921083
generated_from_source,C15D5P001_1,3,Morlet Wavelet,FFT-like/Wavelet,dynamic,25.38962754,0.02716057,0.86732809,0.27921083
generated_from_source,C15D5P001_1,3,CNN-style ConvBank + SVD Rank-40,SVD,file,25.38962754,0.02782915,0.76942899,0.25030910
generated_from_source,C15D5P001_1,3,SVD Energy-99%,SVD,file,25.38962754,0.01192554,0.93899596,0.29004666
generated_from_source,C15D5P001_1,3,SVD Rank-20,SVD,file,25.38962754,0.01083060,0.92805173,0.28599694
